iter	Passed	Remaining
609	33018	21110
610	33080	21060
611	33145	21014
612	33201	20960
613	33279	20921
614	33354	20880
615	33404	20823
616	33482	20784
617	33547	20736
618	33605	20684
619	33660	20630
620	33718	20578
621	33773	20524
622	33826	20469
623	33897	20425
624	33956	20373
625	34019	20324
626	34083	20276
627	34160	20235
628	34229	20189
629	34292	20139
630	34346	20085
631	34404	20032
632	34457	19977
633	34518	19926
634	34591	19883
635	34641	19826
636	34688	19767
637	34734	19708
638	34795	19657
639	34840	19597
640	34884	19537
641	34924	19474
642	34971	19416
643	35020	19359
644	35083	19309
645	35145	19259
646	35210	19210
647	35288	19169
648	35361	19124
649	35427	19076
650	35475	19018
651	35523	18960
652	35585	18909
653	35644	18857
654	35696	18801
655	35744	18743
656	35790	18684
657	35857	18636
658	35891	18571
659	35936	18512
660	36017	18471
661	36068	18415
662	36141	18370
663	36201	18318
664	36261	18266
665	36341	18225
666	36397	18171
667	36456	18119
668	36524	18071
669	36576	18015
670	36631	17961
671	36687	17906
672	36734	17848
673	36791	17795
674	36844	17739
675	36906	17689
676	36951	17629
677	36996	17570
678	37041	17511
679	37098	17458
680	37150	17402
681	37198	17344
682	37245	17286
683	37297	17231
684	37361	17181
685	37414	17125
686	37464	17068
687	37518	17014
688	37572	16959
689	37619	16901
690	37661	16841
691	37722	16789
692	37792	16741
693	37830	16680
694	37875	16621
695	37917	16561
696	37956	16500
697	38009	16445
698	38049	16384
699	38094	16326
700	38145	16270
701	38187	16210
702	38241	16156
703	38291	16099
704	38350	16047
705	38406	15993
706	38450	15934
707	38506	15881
708	38573	15831
709	38616	15773
710	38669	15718
711	38711	15658
712	38767	15605
713	38812	15546
714	38851	15486
715	38893	15426
716	38941	15370
717	38986	15312
718	39036	15256
719	39083	15199
720	39134	15143
721	39179	15085
722	39223	15027
723	39271	14970
724	39322	14915
725	39368	14858
726	39414	14800
727	39466	14745
728	39520	14691
729	39586	14641
730	39636	14585
731	39679	14527
732	39722	14469
733	39766	14411
734	39808	14352
735	39858	14297
736	39906	14240
737	39955	14184
738	39998	14126
739	40044	14069
740	40088	14011
741	40129	13953
742	40174	13896
743	40222	13839
744	40268	13783
745	40313	13725
746	40356	13668
747	40404	13612
748	40452	13556
749	40502	13500
750	40562	13448
751	40615	13394
752	40664	13338
753	40713	13283
754	40769	13229
755	40814	13172
756	40860	13116
757	40917	13063
758	40958	13005
759	41003	12948
760	41057	12894
761	41103	12838
762	41157	12784
763	41206	12728
764	41258	12674
765	41303	12617
766	41349	12561
767	41398	12505
768	41448	12450
769	41499	12396
770	41575	12348
771	41640	12298
772	41705	12247
773	41763	12194
774	41816	12140
775	41871	12086
776	41913	12029
777	41953	11971
778	42010	11918
779	42060	11863
780	42117	11810
781	42171	11756
782	42231	11704
783	42283	11649
784	42331	11594
785	42380	11538
786	42429	11483
787	42480	11428
788	42529	11373
789	42582	11319
790	42628	11263
791	42676	11207
792	42728	11153
793	42781	11099
794	42838	11046
795	42889	10991
796	42934	10935
797	42980	10879
798	43046	10829
799	43113	10778
800	43169	10725
801	43237	10674
802	43298	10622
803	43351	10568
804	43406	10514
805	43464	10461
806	43519	10408
807	43589	10357
808	43639	10303
809	43684	10247
810	43733	10191
811	43779	10136
812	43833	10082
813	43886	10028
814	43941	9974
815	43992	9919
816	44046	9866
817	44102	9812
818	44159	9759
819	44211	9704
820	44268	9651
821	44316	9596
822	44367	9541
823	44415	9486
824	44466	9432
825	44519	9378
826	44572	9324
827	44649	9274
828	44695	9219
829	44740	9163
830	44786	9108
831	44833	9052
832	44887	8999
833	44938	8944
834	44994	8891
835	45049	8837
836	45111	8785
837	45167	8731
838	45219	8677
839	45274	8623
840	45329	8569
841	45376	8514
842	45430	8460
843	45479	8406
844	45532	8352
845	45598	8300
846	45642	8244
847	45692	8190
848	45740	8135
849	45788	8080
850	45831	8024
851	45876	7969
852	45926	7914
853	45982	7861
854	46036	7807
855	46093	7754
856	46150	7700
857	46199	7646
858	46251	7591
859	46319	7540
860	46371	7486
861	46420	7431
862	46470	7377
863	46521	7322
864	46586	7270
865	46630	7215
866	46677	7160
867	46722	7105
868	46770	7050
869	46828	6997
870	46883	6943
871	46928	6888
872	46989	6835
873	47050	6782
874	47107	6729
875	47173	6677
876	47240	6625
877	47292	6571
878	47348	6517
879	47400	6463
880	47450	6409
881	47502	6355
882	47553	6300
883	47617	6248
884	47660	6193
885	47707	6138
886	47779	6086
887	47824	6031
888	47866	5976
889	47915	5922
890	47970	5868
891	48044	5817
892	48107	5764
893	48178	5712
894	48242	5659
895	48292	5605
896	48346	5551
897	48395	5497
898	48446	5442
899	48499	5388
900	48548	5334
901	48600	5280
902	48656	5226
903	48702	5171
904	48749	5117
905	48795	5062
906	48839	5007
907	48884	4953
908	48936	4899
909	48997	4845
910	49049	4791
911	49100	4737
912	49175	4685
913	49233	4632
914	49290	4578
915	49345	4525
916	49403	4471
917	49468	4418
918	49538	4366
919	49584	4311
920	49633	4257
921	49683	4203
922	49727	4148
923	49803	4096
924	49844	4041
925	49884	3986
926	49927	3931
927	49973	3877
928	50016	3822
929	50063	3768
930	50106	3713
931	50174	3660
932	50235	3607
933	50304	3554
934	50362	3501
935	50429	3448
936	50488	3394
937	50539	3340
938	50638	3289
939	50710	3236
940	50780	3183
941	50830	3129
942	50878	3075
943	50927	3021
944	50982	2967
945	51027	2912
946	51073	2858
947	51122	2804
948	51173	2750
949	51221	2695
950	51276	2642
951	51329	2588
952	51382	2534
953	51429	2479
954	51476	2425
955	51520	2371
956	51574	2317
957	51614	2262
958	51654	2208
959	51700	2154
960	51759	2100
961	51801	2046
962	51862	1992
963	51907	1938
964	51949	1884
965	51991	1829
966	52036	1775
967	52080	1721
968	52124	1667
969	52168	1613
970	52215	1559
971	52262	1505
972	52311	1451
973	52360	1397
974	52410	1343
975	52463	1290
976	52514	1236
977	52569	1182
978	52608	1128
979	52656	1074
980	52700	1020
981	52755	967
982	52793	913
983	52864	859
984	52905	805
985	52957	751
986	53007	698
987	53060	644
988	53114	590
989	53161	536
990	53216	483
991	53264	429
992	53312	375
993	53359	322
994	53412	268
995	53463	214
996	53514	161
997	53558	107
998	53599	53
999	53649	0
